TS,PD1,PD2,PD3,PD4,PD5,PD6,Target
1618594882252,0.44,0,0.3,0.96,0,0,1
1618594887261,0.44,0,0.3,0.87,0,0,1
1618594892271,0.45,0,0.27,0.87,0,0,1
1618594897282,0.45,0,0.27,0.88,0,0,1
1618594902286,0.46,0,0.25,0.88,0,0,1
1618594907291,0.46,0,0.25,0.88,0,0,1
1618594912294,0.47,0,0.23,0.86,0,0,1
1618594917301,0.47,0,0.23,0.86,0,0,1
1618594922305,0.49,0,0.2,0.86,0,0,1
1618594927312,0.49,0,0.2,0.86,0,0,1
1618594932315,0.49,0,0.18,0.86,0,0,1
1618594937319,0.5,0,0.18,0.86,0,0,1
1618594942323,0.5,0,0.17,0.86,0,0,1
1618594947326,0.51,0,0.17,0.86,0,0,1
1618594952335,0.51,0,0.15,0.85,0,0,1
1618594957341,0.52,0,0.15,0.85,0,0,1
1618594962345,0.52,0,0.14,0.81,0,0,1
1618594967350,0.54,0,0.14,0.81,0,0,1
1618594972353,0.54,0,0.14,0.84,0,0,1
1618594977357,0.55,0,0.13,0.84,0,0,1
1618594982361,0.55,0,0.13,0.83,0,0,1
1618594987365,0.56,0,0.11,0.83,0,0,1
1618594992368,0.56,0,0.11,0.83,0,0,1
1618594997372,0.57,0,0.1,0.83,0,0,1
1618595002375,0.57,0,0.1,0.83,0,0,1
1618595007379,0.6,0,0.09,0.81,0,0,1
1618595012382,0.6,0,0.09,0.81,0,0,1
1618595017386,0.6,0,0.08,0.8,0,0,1
1618595022389,0.61,0,0.08,0.8,0,0,1
1618595027392,0.61,0,0.07,0.78,0,0,1
1618595032397,0.62,0,0.07,0.78,0,0,1
1618595037404,0.62,0,0.06,0.76,0,0,1
1618595042408,0.64,0,0.06,0.76,0,0,1
1618595047413,0.64,0,0.06,0.76,0,0,1
1618595052421,0.66,0,0.06,0.76,0,0,1
1618595057425,0.66,0,0.06,0.76,0,0,1
1618595062428,0.67,0,0.05,0.76,0,0,1
1618595067432,0.67,0,0.05,0.74,0,0,1
1618595072435,0.69,0,0.05,0.74,0,0,1
1618595077441,0.69,0,0.05,0.74,0,0,1
1618595082444,0.7,0,0.05,0.73,0,0,1
1618595087448,0.7,0,0.05,0.73,0,0,1
1618595092455,0.72,0,0.04,0.72,0,0,1
1618595097463,0.72,0,0.04,0.72,0,0,1
1618595102468,0.72,0,0.04,0.71,0,0,1
1618595107475,0.74,0,0.04,0.71,0,0,1
1618595112479,0.74,0,0.04,0.7,0,0,1
1618595117491,0.75,0,0.04,0.7,0,0,1
1618595122502,0.75,0,0.04,0.68,0,0,1
1618595127511,0.76,0,0.04,0.68,0,0,1
1618595132522,0.76,0,0.04,0.67,0,0,1
1618595137532,0.78,0,0.04,0.67,0,0,1
1618595142535,0.78,0,0.04,0.66,0,0,1
1618595147539,0.79,0,0.04,0.66,0,0,1
1618595152544,0.79,0,0.04,0.67,0.01,0,1
1618595157547,0.8,0,0.04,0.67,0.01,0,1
1618595162551,0.8,0,0.04,0.67,0.01,0,1
1618595167559,0.81,0,0.04,0.64,0.01,0,1
1618595172567,0.81,0,0.04,0.64,0.01,0,1
1618595177571,0.84,0,0.04,0.62,0.01,0,1
1618595182575,0.84,0,0.04,0.62,0.01,0,1
1618595187578,0.84,0,0.04,0.59,0.01,0,1
1618595192582,0.85,0,0.04,0.59,0.01,0,1
1618595197586,0.85,0,0.04,0.58,0.01,0,1
1618595202589,0.86,0,0.04,0.58,0.01,0,1
1618595207593,0.86,0,0.04,0.6,0,0,1
1618595212596,0.88,0,0.04,0.6,0,0,1
1618595217601,0.88,0,0.04,0.57,0,0,1
1618595222604,0.88,0,0.04,0.57,0,0,1
1618595227610,0.88,0,0.04,0.56,0,0,1
1618595232613,0.9,0,0.05,0.56,0,0,1
1618595237616,0.9,0,0.05,0.55,0,0,1
1618595242621,0.91,0,0.05,0.55,0,0,1
1618595247629,0.91,0,0.05,0.55,0,0,1
1618595252640,0.92,0,0.05,0.54,0,0,1
1618595257646,0.92,0,0.05,0.54,0,0,1
1618595262654,0.94,0,0.05,0.52,0,0,1
1618595267657,0.94,0,0.05,0.52,0,0,1
1618595272661,0.94,0,0.05,0.51,0,0,1
1618595277664,0.95,0,0.05,0.51,0,0,1
1618595282668,0.95,0,0.06,0.5,0,0,1
1618595287672,0.96,0,0.06,0.5,0,0,1
1618595292675,0.96,0,0.06,0.48,0,0,1
