4776 3
-82.975 -52.551 -13.329
-81.896 -54.600 -10.639
-79.861 -56.275 -7.211
-78.257 -58.506 -4.457
-74.585 -60.570 -0.136
-65.079 -62.421 9.883
-62.613 -63.047 13.363
-58.115 -63.244 17.212
-53.382 -63.244 21.537
-48.415 -63.065 25.246
-37.581 -47.405 37.173
-37.742 -45.248 38.742
-92.437 -1.936 41.355
-93.670 -4.920 41.573
-95.026 -8.007 41.529
-96.391 -11.554 41.192
-98.479 -15.383 40.641
-103.787 -19.234 39.504
-109.304 -22.849 37.185
-110.230 -26.201 35.254
-110.198 -30.237 34.033
-111.072 -34.539 32.277
-112.278 -38.887 30.225
-119.969 -53.512 20.849
-123.394 -58.480 16.254
-130.076 -62.706 9.162
-138.757 -67.777 -0.924
-153.674 -70.964 -16.663
-172.935 -73.449 -37.203
166.096 -72.678 -59.180
134.538 -66.017 -93.167
125.523 -60.791 -103.608
119.617 -55.042 -110.681
115.560 -48.810 -116.029
155.785 25.209 175.399
151.360 24.681 -178.279
147.667 24.342 -172.666
143.652 23.737 -166.865
139.256 22.363 -161.125
135.199 20.177 -156.319
131.690 18.113 -151.745
128.459 16.095 -147.776
125.551 13.431 -143.515
122.758 9.583 -139.964
115.982 0.466 -130.771
90.035 -60.495 -107.300
83.191 -65.299 -111.661
75.375 -69.449 -116.673
65.634 -72.987 -123.670
51.394 -74.911 -135.319
32.649 -76.290 -151.765
35.027 -77.155 -147.515
25.283 -77.604 -153.881
7.804 -78.137 -168.970
-3.202 -76.901 -177.378
-16.147 -74.364 171.321
-12.282 -73.407 179.299
-18.623 -71.631 174.962
-33.648 -68.555 160.263
-44.569 -63.036 149.994
-51.476 -56.376 144.281
-55.719 -51.312 142.719
-59.117 -47.153 141.886
-61.052 -43.366 142.013
-61.803 -40.105 143.140
-62.309 -37.231 143.979
-63.654 -34.183 145.276
-64.137 -28.982 148.605
-64.874 -25.500 151.168
-65.695 -22.826 153.504
-65.692 -21.538 155.639
-65.171 -21.066 158.428
-63.763 -20.364 162.088
-68.332 -11.244 162.008
-76.218 4.794 159.642
-79.231 11.694 160.497
-81.359 15.971 162.565
-82.444 19.113 164.151
-84.397 22.429 166.160
-86.329 24.568 168.546
-88.817 27.349 171.355
-90.558 27.202 174.807
-90.514 26.182 178.507
-91.093 25.480 -178.228
-90.708 24.822 -176.404
-92.175 25.949 -173.239
-94.547 28.158 -169.610
-98.193 30.004 -165.198
-101.535 31.958 -161.132
-105.033 33.205 -156.851
-118.203 35.968 -139.233
-122.787 36.945 -132.580
-138.201 38.136 -121.728
-149.018 39.025 -112.472
-148.631 33.234 -103.937
-154.771 27.436 -96.242
-155.010 25.450 -93.342
-155.132 25.067 -90.591
-156.122 21.902 -85.083
-157.083 16.541 -79.784
-43.306 -9.230 41.126
-47.588 -10.482 52.924
-45.868 -11.146 56.095
-43.157 -10.986 58.708
-42.292 -11.109 60.756
-40.155 -11.159 63.998
-32.649 -8.384 67.894
-24.750 -4.591 71.981
-15.232 1.879 76.569
-8.146 8.312 78.527
-8.126 10.038 79.629
-7.453 11.932 83.621
-9.601 11.102 88.584
-10.024 11.707 93.444
-9.578 12.361 96.971
-9.619 14.296 102.515
-10.480 17.413 109.477
-11.610 19.852 115.985
-12.669 21.502 122.340
-14.396 22.878 128.861
-16.305 24.089 135.384
-17.905 25.287 141.597
-20.168 26.290 147.831
-22.331 27.338 154.304
-24.717 28.266 160.858
-27.148 28.813 167.400
-29.739 29.538 173.621
-33.245 30.275 179.825
-36.441 30.660 -173.929
-39.817 30.952 -167.928
-43.355 30.784 -161.902
157.634 -8.776 14.549
156.397 -10.261 16.361
151.879 -11.915 15.743
146.983 -14.544 14.451
143.434 -17.123 14.269
139.420 -20.598 12.334
135.084 -22.610 11.537
138.803 -25.317 23.739
146.975 -26.176 39.939
158.202 -23.389 54.342
165.864 -19.103 61.959
170.607 -14.494 69.142
172.952 -12.017 75.488
173.494 -12.729 79.471
174.091 -13.084 83.229
174.257 -13.399 86.974
174.337 -13.434 90.619
175.143 -13.476 94.595
176.334 -15.669 98.807
177.060 -15.928 102.426
177.441 -15.795 106.131
177.648 -15.478 109.844
177.986 -15.096 113.735
178.810 -14.190 116.976
178.873 -12.656 120.966
178.932 -9.175 126.172
179.417 -8.445 135.314
-179.537 -8.261 141.921
-179.054 -6.972 144.833
-179.405 -5.602 147.289
179.885 -4.462 149.592
-179.905 -3.498 151.809
-179.841 -3.295 154.420
-179.500 -3.032 156.434
-178.783 -3.257 158.848
-178.736 -3.108 159.927
-178.749 -3.041 160.991
-177.713 -2.922 162.254
-177.000 -2.730 163.435
-175.729 -2.636 164.911
-176.128 -4.112 166.096
-174.091 -4.021 167.101
-173.493 -8.323 168.982
-166.009 -8.927 171.209
-161.737 -8.949 173.213
-160.657 -13.520 174.998
-159.754 -10.445 176.147
-158.849 -7.185 177.600
-157.432 -7.575 177.726
-157.189 -7.215 177.414
-154.996 -7.555 176.903
-154.651 -6.363 176.268
-154.905 -6.911 176.578
-154.092 -6.478 175.512
-155.204 -7.197 174.185
-158.658 -7.654 172.921
-156.100 -7.324 171.101
-163.657 1.281 164.679
-164.439 4.328 162.860
-163.982 5.397 161.703
-164.895 5.249 160.125
-165.455 5.017 158.623
-163.185 5.369 156.486
-162.798 5.581 154.254
-162.254 5.698 152.448
-160.923 5.522 149.156
-159.984 5.636 145.896
-159.904 5.556 143.379
-159.396 5.509 140.607
-158.758 5.345 137.210
-157.413 5.898 135.244
-155.448 4.288 130.173
-151.996 2.150 121.828
-148.714 1.713 116.910
-147.772 -0.087 112.876
-146.643 -1.491 109.369
-146.234 -3.708 104.189
-145.592 -5.978 99.859
-144.756 -7.617 96.522
-143.541 -9.614 93.478
-142.908 -14.396 87.192
-141.232 -16.549 85.158
-139.665 -19.048 83.186
-139.495 -21.447 80.668
-139.049 -24.084 78.180
-138.760 -27.607 75.359
-139.044 -30.721 72.702
-139.159 -33.879 70.160
-137.707 -37.108 68.527
-139.654 -43.665 62.934
-137.867 -46.299 61.843
-139.294 -56.324 54.702
-139.433 -59.678 52.318
-145.555 -66.636 44.352
-147.418 -69.660 40.406
-157.030 -76.701 25.882
178.931 -81.598 -0.340
156.984 -83.166 -23.243
54.952 29.650 171.791
55.840 30.719 169.535
56.121 31.976 167.437
56.629 32.765 165.302
57.425 32.778 163.462
58.182 33.162 161.242
58.732 34.081 159.304
59.414 34.266 157.155
60.040 33.947 155.660
60.540 33.846 154.008
59.781 38.830 146.608
59.062 41.441 143.571
60.223 47.581 135.023
86.672 76.157 95.743
144.615 48.828 98.832
153.276 56.068 97.293
153.876 53.505 96.336
151.960 47.318 96.119
150.337 40.405 94.680
150.053 34.563 90.599
150.653 29.380 89.653
152.128 24.787 89.124
153.673 21.329 89.362
156.249 19.183 90.394
158.077 16.882 89.785
157.050 10.778 86.160
157.156 5.657 85.029
158.815 0.518 86.241
175.667 5.329 95.170
178.168 3.664 95.923
-177.221 -0.029 96.381
-174.757 -3.354 97.115
-171.699 -11.354 97.303
-173.861 -53.317 95.166
-169.664 -55.355 98.084
-165.079 -56.158 101.221
-158.998 -57.145 105.469
-154.361 -57.594 107.948
-150.280 -58.397 110.104
-145.503 -57.259 112.115
-140.955 -57.219 114.698
-135.022 -58.629 118.814
-129.994 -60.511 121.943
-121.997 -61.344 128.663
-115.481 -62.175 134.046
-108.833 -62.204 139.506
-103.141 -62.271 143.882
-97.691 -62.201 147.960
-91.902 -62.409 152.042
-83.468 -63.817 158.479
-74.145 -64.913 165.818
-66.698 -64.797 171.406
-60.149 -63.787 176.397
-55.594 -62.575 179.488
-51.475 -61.260 -178.274
-47.323 -60.128 -175.932
-43.745 -58.673 -173.517
-41.076 -57.361 -171.825
-36.922 -56.533 -169.195
-34.701 -55.045 -168.571
-31.870 -53.858 -167.586
-23.925 -54.059 -160.968
-8.597 -54.307 -147.983
-15.122 -51.555 -154.500
-20.623 -48.115 -160.301
-20.083 -46.574 -161.396
-16.362 -45.604 -158.994
-13.714 -44.668 -157.809
-12.032 -43.418 -157.577
-11.156 -42.298 -158.098
-11.252 -40.629 -160.441
-11.018 -39.239 -161.998
-10.138 -38.031 -162.672
-7.941 -36.988 -162.038
-6.974 -35.361 -162.759
-6.345 -34.258 -164.379
-6.454 -33.170 -166.593
-6.789 -31.780 -170.436
-4.124 -27.952 177.943
2.206 -25.711 172.803
3.353 -25.574 172.139
6.232 -25.653 167.435
6.971 -26.089 166.364
7.461 -26.005 165.921
7.503 -25.633 165.479
7.740 -25.267 165.072
8.215 -25.494 162.861
8.827 -26.438 159.949
9.581 -28.117 157.656
10.334 -30.004 155.232
11.292 -31.311 153.233
11.626 -32.376 151.172
12.077 -33.149 150.042
11.841 -34.258 148.163
110.627 39.110 133.571
110.553 39.969 133.157
165.047 22.587 84.845
175.552 13.399 77.403
173.978 11.827 73.533
174.199 14.304 75.289
173.923 16.098 76.153
170.988 15.434 72.171
167.636 14.413 67.339
168.832 15.491 69.826
168.807 16.694 70.207
169.743 18.771 71.597
170.467 20.292 72.131
170.662 21.269 71.444
170.365 21.917 70.422
169.786 21.871 69.432
169.084 22.533 68.417
168.807 22.883 67.507
169.266 24.361 66.035
172.115 26.377 64.994
174.532 28.278 64.489
176.071 29.287 63.713
-179.531 32.555 58.799
-177.946 33.386 56.882
-176.528 34.009 55.289
-176.144 33.531 54.188
-176.266 31.846 51.069
-174.903 29.924 47.709
-174.268 29.442 46.971
-173.810 28.765 46.240
-172.965 27.380 44.874
-172.535 26.623 44.422
-172.013 25.489 43.665
-176.198 21.159 48.744
179.162 17.794 53.273
175.961 15.459 55.705
173.433 13.154 57.090
170.778 10.998 58.430
167.639 8.398 60.124
161.760 4.320 62.284
153.930 -1.129 63.682
148.601 -5.058 63.784
147.007 -7.780 63.789
146.192 -9.942 63.941
150.757 -9.488 63.693
155.197 -8.627 63.120
157.626 -9.309 63.605
163.423 -7.665 60.860
165.735 -8.981 62.075
167.457 -10.332 62.633
168.231 -12.687 63.395
168.196 -15.592 64.890
168.073 -18.008 66.333
168.443 -20.434 67.791
168.323 -22.724 68.760
168.902 -25.538 69.773
170.089 -27.818 71.236
171.868 -29.724 71.876
177.467 -28.544 67.734
-178.653 -28.340 65.700
-177.125 -30.631 66.196
-174.017 -32.628 67.607
-171.491 -34.665 69.492
-168.621 -36.466 72.927
-165.526 -38.497 75.739
-162.326 -40.190 78.600
-158.379 -41.334 81.492
-154.346 -42.349 84.464
-155.679 -50.844 95.793
-150.263 -53.171 103.298
-144.139 -53.255 110.193
-138.142 -53.569 115.711
-133.322 -53.217 119.829
-126.565 -52.152 126.590
-121.328 -51.484 131.306
-114.873 -51.275 135.786
-110.126 -49.170 139.756
-104.929 -46.956 144.118
-100.194 -44.665 147.856
-95.322 -42.379 151.319
-91.858 -39.762 153.967
-88.986 -37.882 156.049
-85.034 -34.452 158.236
-82.175 -31.323 159.652
-79.617 -28.187 160.725
-77.373 -24.634 161.767
-74.912 -21.293 162.284
-71.977 -18.358 162.472
-69.028 -15.160 162.137
-66.372 -12.497 161.672
-60.950 -7.788 160.332
-55.563 -3.370 158.359
-37.243 6.254 149.438
-31.486 7.908 145.767
-27.599 9.395 142.273
-24.811 9.057 141.375
