TIMESTAMP,w,x,y,z,x_euler,y_euler,z_euler,STAR_TRACKER_STATE,HD_CAMERA_STATE,OPTICAL_RX_STATE
2020-11-15 00:44:45,-0.232787,-0.304546,0.181693,0.905566,-14.047883334675562,-39.50640153603929,-156.2338089813309,1,1,1
2020-11-15 00:44:55,-0.205479,-0.299471,0.174165,0.915294,-14.444383557772063,-38.30020695379205,-159.73376148252726,1,1,1
2020-11-15 00:45:05,-0.195256,-0.293293,0.169469,0.920399,-14.371267535046872,-37.306093527559334,-160.91930743571865,1,1,1
2020-11-15 00:45:15,-0.19113,-0.288146,0.164027,0.923871,-13.890927699924596,-36.521163445426794,-161.22662250257744,1,1,1
2020-11-15 00:45:25,-0.228511,-0.277648,0.162289,0.918889,-12.191387786937641,-35.762364737026246,-156.01635872600997,1,1,1
2020-11-15 00:45:35,-0.297514,-0.269128,0.165184,0.900983,-9.74682230951159,-35.679334626919854,-146.5960794607044,1,1,1
2020-11-15 00:45:45,-0.535463,-0.255479,0.176548,0.785392,-0.2640489978305454,-36.18342566482956,-111.51565045700674,1,1,1
2020-11-15 00:45:55,-0.644606,-0.265075,0.163814,0.698128,7.983530623434341,-35.54230388428458,-92.00273708384637,1,1,1
2020-11-15 00:46:05,-0.691001,-0.268261,0.157091,0.652592,11.607450751639862,-34.55728335433288,-83.10332263017433,1,1,1
2020-11-15 00:46:15,-0.70692,-0.267332,0.153188,0.636657,12.722641497065185,-33.84722514331551,-80.12717656709984,1,1,1
2020-11-15 00:46:25,-0.721012,-0.263215,0.154942,0.621974,12.935086636576079,-33.42578132147234,-77.66579775963072,1,1,1
2020-11-15 00:46:35,-0.391335,0.397777,0.0876966,0.825191,-34.315741751121756,36.00431698996855,-117.7973581557036,1,1,1
2020-11-15 00:46:45,-0.748209,-0.247528,0.158059,0.594921,12.426650961986422,-32.07583815561525,-73.39321320326304,1,1,0
2020-11-15 00:46:55,-0.772478,-0.239373,0.147859,0.569311,13.461170715921178,-30.06562001891122,-69.14924223447933,1,1,0
2020-11-15 00:47:05,-0.79878,-0.235072,0.147394,0.533822,14.46055199947382,-29.10714455976167,-63.73647555985725,1,1,0
2020-11-15 00:47:15,-0.825232,-0.233396,0.158604,0.489248,15.301089567302684,-29.3502477243374,-57.29471995130172,1,1,0
2020-11-15 00:47:25,-0.849964,-0.23374,0.174074,0.438891,16.414112748650687,-30.071868803146565,-50.18305449575204,1,1,0
2020-11-15 00:47:35,-0.799845,-0.216837,0.161066,0.535992,11.528823518040882,-29.347251090399915,-64.62526707463107,1,1,0
2020-11-15 00:47:45,-0.863268,-0.222689,0.182361,0.414636,15.619780871345158,-29.968400353963982,-47.10596286332435,1,1,0
2020-11-15 00:47:55,-0.885995,-0.225761,0.192814,0.356184,17.688172941740174,-30.16485229117592,-38.9995887028412,1,1,0
2020-11-15 00:48:05,-0.904629,-0.222482,0.206642,0.299078,18.87988674613668,-30.460711628025585,-31.404867914897153,1,1,0
2020-11-15 00:48:15,-0.916872,-0.220256,0.218514,0.251167,20.014292496549725,-30.753175202367427,-25.083081270221438,1,1,0
2020-11-15 00:48:25,-0.936386,-0.187195,0.227443,0.190812,17.701270762576637,-29.8272663811917,-18.285907429794545,1,1,0
2020-11-15 00:48:35,-0.934326,-0.199168,0.241357,0.170631,19.818584685701445,-31.263865919848072,-15.10228040773941,1,1,0
2020-11-15 00:48:45,-0.932918,-0.205935,0.253905,0.150954,21.365784841518145,-32.40622136329986,-12.107283042497533,1,1,0
2020-11-15 00:48:55,-0.932786,-0.206348,0.265413,0.129947,22.208483386622273,-33.2830779063463,-9.14688035034257,1,1,0
2020-11-15 00:49:05,0.310826,0.603329,0.451888,0.578946,-132.6338813749221,78.38056305571611,-113.02018645493764,1,1,0
2020-11-15 00:49:15,0.930339,0.194681,-0.29797,-0.08822,22.526323804941637,-36.070169149376206,-3.413752543942627,1,1,0
2020-11-15 00:49:55,0.930941,0.148726,-0.332299,-0.0284168,19.3458474664154,-38.84043968511207,3.3808977574601946,1,1,0
2020-11-15 00:50:05,0.936525,0.136948,-0.318268,-0.0535905,16.313012270171967,-37.648088717303345,-0.9556297435493715,1,1,0
2020-11-15 00:50:25,0.94232,0.0987717,-0.316338,-0.0469752,11.335303679047772,-37.26219190947514,-1.8750458286014238,1,1,0
2020-11-15 00:50:45,0.944865,0.0687024,-0.319946,-0.0120508,8.833101693307444,-37.32007358101447,1.5267988887805277,1,1,0
2020-11-15 00:50:55,0.944262,0.0599389,-0.323646,0.00543017,8.474447397968516,-37.63018764568029,3.5510645937730376,1,1,0
2020-11-15 00:51:05,0.938939,0.0458576,-0.339973,0.0266138,7.7609855307499505,-39.49325455383289,6.036855457949939,1,1,0
2020-11-15 00:51:15,0.931561,0.0382487,-0.356661,0.0593687,8.69758522018821,-41.29690059219461,10.576109981792511,1,1,0
2020-11-15 00:51:25,0.900162,0.0564013,-0.406787,0.145093,18.33286621999023,-45.72367503690421,26.097332746503398,1,1,0
2020-11-15 00:51:35,0.816662,0.105243,-0.485577,0.293601,42.07326651313353,-46.99599661719462,58.5338208324156,1,1,1
2020-11-15 00:51:45,0.819879,0.0888798,-0.477601,0.302979,39.49364141806855,-46.82711467984082,58.233701275788945,1,1,1
2020-11-15 00:51:55,0.825729,0.0532963,-0.471276,0.305335,34.338849489456635,-48.223258678478125,56.332589261328714,1,1,1
2020-11-15 00:52:05,0.821325,0.0253936,-0.475679,0.313864,31.92637500117519,-49.945554875331624,57.00480964021031,1,1,1
2020-11-15 00:52:15,0.808885,0.00884212,-0.487802,0.32814,32.55064517503737,-51.56821098151016,60.217394824990535,1,1,1
2020-11-15 00:52:25,0.794339,-0.00815386,-0.497768,0.348117,33.48472968770017,-52.794376640009354,64.31483949753223,1,1,1
2020-11-15 00:52:35,0.791712,-0.0471659,-0.499003,0.349233,28.828860527902293,-55.39400438022358,62.97395366225798,1,1,1
2020-11-15 00:52:45,0.7778,-0.0686687,-0.509449,0.361627,29.026673794143132,-57.36926558325955,65.9937036169452,1,1,1
2020-11-15 00:52:55,0.749305,-0.0659078,-0.527954,0.394288,36.203234051831494,-57.47641707724299,75.83136811087691,1,1,1
2020-11-15 00:53:05,0.723017,-0.0620718,-0.546792,0.417626,42.94024665150182,-57.40781486216405,84.33053037790654,1,1,1
2020-11-15 00:53:15,0.688319,-0.0501159,-0.567254,0.449364,51.43781774090866,-55.68433350834893,94.82416441482145,1,1,1
2020-11-15 00:53:25,0.649622,-0.0373624,-0.586428,0.482387,59.11159347730617,-52.93569454094822,104.72434233450277,1,1,1
2020-11-15 00:53:35,0.615532,-0.0410098,-0.603509,0.505189,64.38121914598433,-51.6645935348515,112.65133566632629,1,1,1
2020-11-15 00:53:45,0.585224,-0.0568459,-0.618793,0.520938,68.50172285707015,-51.581383553668765,119.77257512961204,1,1,1
2020-11-15 00:53:55,0.559347,-0.0830218,-0.633834,0.527724,72.4024449653325,-52.81532557166352,126.61494392464444,1,1,1
2020-11-15 00:54:05,0.541807,-0.115227,-0.644965,0.526486,75.68020500599802,-55.107259597843324,132.48228005259972,1,1,1
2020-11-15 00:54:25,0.484061,-0.154667,-0.671463,0.539352,84.98391517913704,-54.77546191463302,146.96279244507153,1,1,1
2020-11-15 00:54:45,0.407418,-0.184941,-0.694351,0.563635,92.9574754971513,-50.73802422249036,161.34428098736117,1,1,1
2020-11-15 00:55:05,0.314412,-0.204393,-0.712479,0.593079,97.85063347733592,-43.66700733874096,173.51565616442326,1,1,1
2020-11-15 00:55:15,0.269557,-0.220356,-0.722388,0.597442,100.71133745169159,-40.749256708566584,179.71832839966706,1,1,1
2020-11-15 00:55:25,0.229064,-0.239724,-0.728787,0.599109,103.06741981085347,-38.39792106320195,-174.5124113182668,1,1,1
2020-11-15 00:55:35,0.186731,-0.25847,-0.737899,0.594836,105.90243534543177,-35.666884709246865,-168.69207661937622,1,1,1
2020-11-15 00:55:45,0.146124,-0.280382,-0.740993,0.592421,107.78670274206227,-33.2821453644018,-163.14528701258425,1,1,1
2020-11-15 00:55:55,0.104658,-0.299958,-0.740793,0.59186,108.82228595533067,-30.672209007484387,-158.1200380319676,1,1,1
2020-11-15 00:56:05,0.0586281,-0.313641,-0.739274,0.593014,109.033570230678,-27.301425287645948,-153.66523930906052,1,1,1
2020-11-15 00:56:15,0.0156472,-0.32807,-0.732975,0.595713,108.55977066124107,-24.44431640587104,-149.48198219674214,1,1,1
2020-11-15 00:56:25,-0.0295253,-0.332756,-0.720678,0.607474,106.20689950119623,-21.206163592473445,-146.43149218638553,1,1,1
2020-11-15 00:56:35,-0.0803124,-0.332622,-0.697222,0.629916,101.73201776308312,-17.881939517666,-143.58120580358818,1,1,1
2020-11-15 00:56:45,-0.119483,-0.34915,-0.684026,0.629228,100.76882589443062,-16.0174784162497,-139.20272631579186,1,1,1
2020-11-15 00:56:55,-0.155316,-0.369419,-0.676391,0.617981,101.18252316600079,-14.269282255271484,-134.46087886163386,1,1,1
2020-11-15 01:00:05,-0.574979,-0.716189,-0.296858,0.261433,101.66646885439798,-1.8966455838103784,-46.57277683608792,1,1,1
2020-11-15 01:00:25,-0.594226,-0.730472,-0.229861,0.245906,99.99109334564795,-4.937910774002565,-39.07974313209163,1,1,1
2020-11-15 01:00:35,-0.594887,-0.739015,-0.186285,0.255468,99.42135946558615,-8.972034360693225,-35.906181858450076,1,1,1
2020-11-15 01:00:45,-0.581338,-0.748858,-0.110017,0.298588,98.84925038663272,-18.61973094364695,-32.69796104971271,1,1,1
2020-11-15 01:01:05,-0.49185,-0.731971,-0.0786111,0.464889,96.04012695505894,-37.10238031459745,-45.86343927348305,1,1,1
2020-11-15 01:01:15,-0.459476,-0.726454,-0.0511898,0.508455,94.82229119165984,-43.76459392842579,-48.58782210741575,1,1,1
