TIMESTAMP,PD3,PD6,STAR_TRACKER_STATE,HD_CAMERA_STATE,OPTICAL_RX_STATE
2020-11-23 13:45:47,0.555091,0.941557,1,1,0
2020-11-23 13:45:52,0.558119,0.937081,1,1,0
2020-11-23 13:45:57,0.564192,0.928211,1,1,0
2020-11-23 13:46:02,0.573345,0.923815,1,1,0
2020-11-23 13:46:07,0.579478,0.915099,1,1,0
2020-11-23 13:46:12,0.585635,0.90648,1,1,0
2020-11-23 13:46:17,0.598026,0.897955,1,1,0
2020-11-23 13:46:22,0.60114,0.889521,1,1,0
2020-11-23 13:46:27,0.607388,0.881173,1,1,0
2020-11-23 13:46:32,0.619967,0.87291,1,1,0
2020-11-23 13:46:42,0.635851,0.852597,1,1,0
2020-11-23 13:46:47,0.645471,0.83668,1,1,0
2020-11-23 13:46:52,0.651923,0.83668,1,1,0
2020-11-23 13:46:57,0.661662,0.828827,1,1,0
2020-11-23 13:47:02,0.671475,0.817171,1,1,0
2020-11-23 13:47:07,0.67806,0.801851,1,1,0
2020-11-23 13:47:12,0.691335,0.794282,1,1,0
2020-11-23 13:47:17,0.701388,0.783035,1,1,0
2020-11-23 13:47:22,0.714927,0.775608,1,1,0
2020-11-23 13:47:27,0.728626,0.760911,1,1,0
2020-11-23 13:47:37,0.749497,0.746418,1,1,0
2020-11-23 13:47:42,0.753014,0.735674,1,1,0
2020-11-23 20:07:24,0.0,0.633321,1,1,1
2020-11-23 20:20:49,0.0308549,0.00264208,1,1,1
2020-11-23 20:21:09,0.0282829,0.00528418,1,1,1
2020-11-23 20:21:14,0.0308549,0.00528418,1,1,1
2020-11-23 20:21:24,0.0282829,0.00264208,1,1,1
2020-11-23 20:22:04,0.0205681,0.00528418,1,1,1
2020-11-23 20:22:59,0.0205681,0.0105685,1,1,1
2020-11-23 20:23:39,0.0179968,0.0132108,1,1,1
2020-11-23 20:24:09,0.0179968,0.0158531,1,1,1
2020-11-23 20:25:04,0.131491,0.0211382,1,1,1
2020-11-23 20:25:09,0.131491,0.0237809,1,1,1
2020-11-23 20:25:14,0.128898,0.0237809,1,1,1
2020-11-23 20:25:19,0.128898,0.0264238,1,1,1
2020-11-23 20:25:24,0.131491,0.0290669,1,1,1
2020-11-23 20:25:34,0.144469,0.0343537,1,1,1
2020-11-23 20:25:44,0.154868,0.0396415,1,1,1
